Date,Open,High,Low,Close,Adj Close,Volume
2018-07-01,81.503998,93.649902,75.310600,79.702301,79.702301,9125914976
2018-08-01,80.390800,80.733498,51.158501,61.925499,61.925499,7670866000
2018-09-01,61.738800,68.977203,47.667500,61.141899,61.141899,9420556000
2018-10-01,61.098598,61.729698,48.321400,49.441502,49.441502,10210349000
2018-11-01,49.562302,56.157101,27.072701,32.064762,32.064762,13203393662
2018-12-01,32.130596,36.558315,22.824781,30.468224,30.468224,14078196962
2019-01-01,30.458393,40.950657,30.127712,31.652176,31.652176,18358801535
2019-02-01,31.719522,53.415829,31.127136,46.237255,46.237255,31826711598
2019-03-01,46.235413,64.109009,45.853374,60.755398,60.755398,55778905676
2019-04-01,60.769836,97.495255,60.413891,74.280876,74.280876,89101457309
2019-05-01,74.303352,120.691711,72.298012,114.536957,114.536957,127061023233
2019-06-01,114.466255,146.434677,99.294312,122.249115,122.249115,136565831055
2019-07-01,122.114136,126.673798,77.497475,98.509575,98.509575,111295958067
2019-08-01,98.566689,105.591286,62.614578,64.576050,64.576050,87453207989
2019-09-01,64.558609,79.655220,51.844608,56.056908,56.056908,81171916358
2019-10-01,56.089233,61.912285,48.495190,58.780685,58.780685,87311520134
2019-11-01,58.746315,64.598618,42.963909,47.475430,47.475430,96575295159
2019-12-01,47.463898,48.301144,36.672943,41.340073,41.340073,88951143828
2020-01-01,41.326534,69.738029,39.450844,67.879494,67.879494,118327163243
2020-02-01,67.908516,83.689163,57.804031,58.543262,58.543262,159348899430
2020-03-01,58.530544,63.773266,25.573105,39.299103,39.299103,124412754141
2020-04-01,39.284687,50.921558,37.445934,46.714020,46.714020,125375297905
2020-05-01,46.714264,50.044678,40.135761,45.591885,45.591885,120524993240
2020-06-01,45.574230,49.761257,40.754646,41.467793,41.467793,59041931593
2020-07-01,41.433540,58.738693,40.656460,57.998138,57.998138,56139648693
2020-08-01,57.998138,68.519516,52.322857,61.113796,61.113796,81110899712
2020-09-01,61.105076,64.183960,42.543270,46.371460,46.371460,58211826472
2020-10-01,46.426956,60.302204,44.201286,55.590260,55.590260,83706220002
2020-11-01,55.590260,93.576019,51.606560,87.574631,87.574631,140287217899
2020-12-01,87.576599,138.319717,70.231308,124.690323,124.690323,232233300894
2021-01-01,124.672768,185.780350,114.956459,129.570816,129.570816,284508868799
2021-02-01,129.574600,245.957520,126.350449,164.927170,164.927170,257492279860
2021-03-01,164.983139,229.373978,163.966431,197.499100,197.499100,132914357105
2021-04-01,197.524368,335.024536,195.534042,271.167084,271.167084,198962657663
2021-05-01,271.142670,412.960144,118.642441,188.033676,188.033676,220555193127
2021-06-01,188.117554,197.684280,105.566292,144.135834,144.135834,72749710958
2021-07-01,144.136642,147.836060,104.325890,144.933212,144.933212,45265293423
2021-08-01,144.509857,191.382660,135.994553,171.659225,171.659225,63981066542
2021-09-01,171.465179,233.056854,140.145157,153.147995,153.147995,100051559818
2021-10-01,153.293655,214.021576,151.592651,191.816376,191.816376,85277846545
2021-11-01,192.045029,294.562866,184.106033,208.014542,208.014542,83532806891
2021-12-01,207.636612,217.506332,132.054291,146.514740,146.514740,42339536037
2022-01-01,146.536865,153.142883,98.665222,109.587700,109.587700,31483802715
2022-02-01,109.589439,143.232895,92.612610,113.474579,113.474579,25533469158
2022-03-01,113.476082,133.906784,97.236954,123.716011,123.716011,24976367565
2022-04-01,123.731697,129.305832,95.947632,96.165985,96.165985,21322391305
2022-05-01,96.167870,106.804092,55.322548,68.411385,68.411385,24875997752
2022-06-01,68.417023,70.076424,40.680405,53.648430,53.648430,20115554597
2022-07-01,53.699032,64.305122,46.662994,59.909508,59.909508,15603024637
2022-08-01,59.915623,65.627701,52.116840,53.856663,53.856663,14232466575
2022-09-01,53.858364,67.066368,50.428391,53.397038,53.397038,16387540758
2022-10-01,53.403042,57.455090,48.871719,55.084435,55.084435,11701958250
2022-11-01,55.085613,81.563438,49.331955,79.297707,79.297707,31829228232
2022-12-01,79.291130,83.823891,61.860809,69.996216,69.996216,14389524551
2023-01-01,70.002823,97.460876,69.234886,94.308113,94.308113,19437163954
2023-02-01,94.297386,104.480171,88.849525,93.792778,93.792778,16639350531
2023-03-01,93.795372,98.116287,66.678162,89.684128,89.684128,20095488402
2023-04-01,89.686440,103.049606,84.895081,88.533623,88.533623,16603780604
2023-05-01,88.512329,94.873375,76.825470,90.539009,90.539009,15901706962
2023-06-01,90.537476,97.177094,72.023109,86.070221,86.070221,11728680102
2023-06-26,88.133766,88.711502,86.738441,88.033073,88.033073,445862016
